name,link,systems,extract,notes,inform future decision making (y/n/u),inform current decision making (y/n/u)
Kent County Council,[Not via WDTK],ACORN (CACI),"""The Kent Integrated Dataset includes population segmentation data items from two proprietary systems: CACI ACORN and Experian Mosiac.""","Acorn is a geodemographic segmentation system which aims to provide insights into where different demographics of people are living, originally used in marketing. From CACI's marketing copy on Acorn: ""Acorn is a powerful consumer classification that segments the UK population. By analysing demographic data, social factors, population and consumer behaviour, it provides precise information and an understanding of different types of people.""[1] For a look at a similar system, Experian's Mosaic, and a look at the history of geodemographics, please refer to pages 83-94 of the Data Justice Lab's report, ""Data Scores as Governance"".[2] For more information on the Kent Integrated Dataset, the system Kent County Council use Acorn as part of, please refer to this lecture delivered by Kent County Council's Head of Health Intelligence[3] and pages 37-47 of the Data Justice Lab's report.[2]   [1] https://acorn.caci.co.uk/  [2] https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf  [3] https://www.youtube.com/watch?v=zgNowZ_UJAg",y,u
Kent County Council,[Not via WDTK],Kent Integrated Dataset (KID),,"The Kent Integrated Dataset is a combined dataset used for population health planning. For more information on this system, please refer to the Data Justice Lab's case study in their report, ""Data Scores as Governance"" (pp. 36-47). - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",y,u
Kent County Council,[Not via WDTK],Mosaic (Experian),"""The Kent Integrated Dataset includes population segmentation data items from two proprietary systems: CACI ACORN and Experian Mosiac.""","Mosaic is a geodemographic segmentation system which aims to provide insights into where different demographics of people are living, originally used in marketing. For a closer look at this system and the history of geodemographics, refer to pages 83-94 of the Data Justice Lab's report, ""Data Scores as Governance"".[1] For more information on the Kent Integrated Dataset, the system which Mosaic is used as part of, please refer to this lecture delivered by Kent County Council's Head of Health Intelligence[2] and pages 37-47 of the Data Justice Lab's report.[1]  [1] https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf  [2] https://www.youtube.com/watch?v=zgNowZ_UJAg",y,u
Leeds City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_200,FFT Aspire,"""The online system, FFT Aspire, is used by over 13,600 schools, LAs, MATs and chains in England and Wales.  Part is backwards looking with an analysis of pupil results and pupil progress that provides school leaders with insightful data to support school improvement and self-evaluation.  It also includes estimates of future performance built up from pupil level.  These are used by teachers to inform the setting of ambitious and aspirational targets for students.""",FFT Aspire is system which Leeds City Council say is used to predict students' future performance and set future attainment targets in schools in the Leeds area.,y,u
Liverpool City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_210,[Name not specified],"""we share our data ... with the CCG in a psuedonymised format at client level to facilitate primary care risk stratification based on the ""Welsh model"" for large scale health risk identification""",,y,u
London Borough of Southwark,[Not via WDTK],"Student council tax discount review, with National Fraud Authority Initiative & Fujitsu","""As part of an NFA initiative Southwark Council entered into a data matching exercise to evaluate the student discounts awarded for Council tax purposes. The review was a new pilot developed for free with National Fraud Authority (NFA) and Fujitsu. There was no sharing of the methodology or software. The data analytics were conducted between NFA and Fujitsu. The results were shared with our Revenue & Benefits and Council Tax teams.""","From a Fujitsu authored article on the system: ""Fujitsu’s solution establishes a fraud screen which can identify the claims that are most likely to be fraudulent or erroneous. The system automatically correlates known facts about each individual such as the distance between their home postcode and the university; the length and subject of the course being studied, as well as other available lifestyle data. The fraud screen then streams the data through an analytics processing engine and a range of analytic algorithms to help predict which claims are bogus."" - https://www.fujitsu.com/fts/about/resources/case-studies/fs_southwark-council.html",u,y
Medway Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_216,National Child Measurement Programme,,"""The National Child Measurement Programme (NCMP) measures the height and weight of children in Reception class (aged 4 to 5) and year 6 (aged 10 to 11), to assess overweight and obesity levels in children within primary schools. ... The data can be used nationally to support local public health  initiatives, and locally to inform the planning and delivery of services for children. ... The programme was set up in line with the government's strategy to tackle obesity, and to: - inform local planning and delivery of services for children, - gather population-level data to allow analysis of trends in growth patterns and obesity"" - https://digital.nhs.uk/services/national-child-measurement-programme/",y,u
Medway Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_216,NHS Health Checks programme,"""involves use of a nationally approved algorithm to calculate a person's risk of cardiovascular event in the next 10 years""",,u,u
Milton Keynes Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_225,NHS Health Check software,"""For adults in England aged 40-74 without a pre-existing condition, it checks your circulatory and vascular health and what your risk of getting a disabling vascular disease is. You will be invited once every five years under this programme, unless you are identified as high risk or have one of the conditions (next slide) then you will be reviewed annually by your GP. Cardiovascular disease covers many diseases.""",,u,y
Northamptonshire County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_238,CapitaOne Admissions,"""Capita One:Admissions–ranking developed by the supplier for school placements""","A leaflet provided by Capita on Capita One Admissions & Transfers lists as a key benefit of the system ""Target interventions: Easily identify children who frequently change school, giving a clearer picture of a child's situation to shape interventions, if necessary."" Also: ""Plan for future school places: Your admissions data in One can be analysed useing One Analytics to understand trends and where to target future resources.""",y,y
Northamptonshire County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_238,Fischer Family Trust Aspire,"""Fischer Family Trust Aspire–education tool for predictive analysis and pupil target setting(used by schools and the LA).""","A complex system used for monitoring pupil progress, with the ability to forecast and be used to guide interventions. - https://fft.org.uk/",u,u
Northamptonshire County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_238,Youth Offender Group Reconviction Scale (YOGRS),"""Within the CareDirector system within the Youth Offending Service we have an assessment called AssetPlus which incorporates a system called YOGRS which estimates the probability that someone may re-offend.""","More information from a fact sheet provided along with the Freedom of Information request response: ""YOGRS is the youth justice system specific version of the Offender GroupReconviction Scale (OGRS).  OGRS estimates the probability that offenderswith a given history of offending will be resanctioned for any recordable offencewithin two years of sentence, or release if sentenced to custody.In the youthjustice system (YJS), the term sanction isused to refer to convictions and out ofcourt disposals (OOCD).Whilst the calculation cannot be defined as absolute for anindividualyoungperson, it provides a percentage calculation of reconvictionin comparison toasimilar cohort.The National Offender Management Service (NOMS)haveproducedthealgorithm and reference dataunderlyingOGRS, and haveverified it as suitablefor usein the YJS.The inclusion of YOGRS in the AssetPlus framework willhelp to promote greater alignment with OASys (NationalProbationService’sassessment framework), which will be of benefitforyoung peoplewho moveinto adult services.""",u,y
Nottinghamshire County Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_256,Mosaic (Experian),"""population segmentation with MOSIAC [sic] data to understand spatial distribution of risk of alcohol harm""","Mosaic is a geodemographic segmentation system which aims to provide insights into where different demographics of people are living, originally used in marketing. For a closer look at this system and the history of geodemographics, refer to pages 83-94 of the Data Justice Lab's report, ""Data Scores as Governance"".[1] For more information on the Kent Integrated Dataset, the system which Mosaic is used as part of, please refer to this lecture delivered by Kent County Council's Head of Health Intelligence[2] and pages 37-47 of the Data Justice Lab's report.[1]  [1] https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf  [2] https://www.youtube.com/watch?v=zgNowZ_UJAg",u,u
Purbeck District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_271,Risk Based Verification (Xantura),"""The Revenues and Benefits Partnership uses Xantura’s Risk BasedVerification (RBV) module which is embedded within the Capita Revenues andBenefits software. The RBV process is used for new housing benefit (HB)and council tax support (CTS) claims only – it is not used for HB/CTSchanges in circumstances.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 99-100 for more information on Capita - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Rotherham Metropolitan Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_284,Rentsense (Mobysoft),,"From Mobysoft's website: ""RentSense is a series of complex algorithms that analyse a housing organisation’s tenants’ transactional history, which is coupled with a predictive analytical application that then predicts which tenants will and won’t pay their rent. It then produces a list of tenants, in priority order, that need contacting that week regarding their rent."" - https://www.mobysoft.com/products/rentsense",u,y
Royal Borough of Windsor and Maidenhead,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_286,Risk Based Verification,"""The only service that use algorithmically systems are our Housing Benefitteam. They use a Risk Based Verification tool in order to inform decisionsabout the level of evidence required in support of a claim.  This is basedon algorithms. It is not an automated decision making piece of software asit merely provides a recommendation which then requires human interventionto accept or change.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
South Bucks District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_307,Risk Based Verification,"""RBV isn't an automated decision affecting entitlement to benefit. It aids anadministrative process to gathering evidence in support of a claim. The result doesn'taccept or decline a claim.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Suffolk County Council,[Not via WDTK],Connect Measure,"""Connect measures are provided on a ‘live’ basis for social care via web-basedBusiness Intelligence reporting tools. These tools allow managers to ‘drill down’ from acounty overview of relevant social care Connect measures, to individual recording.This means that any practice issues can be worked on with the individual workerassigned to a specific case, and trends and key facts can be established around howthe system is working as a whole.""","The Connect Measure was introduced by Suffolk County Council aspart of an attempt to move towards preventative work, rather than costly reactive services, and to improve performance monitoring. According to a Nesta article, the Connect Measure is ""a set of shared outcomes, which health and social care [can] work towards. Th[e] framework contains 35 measures relating to important outcomes, such as the number of emergency admissions, ambulance call-outs, length of stay in hospital and delayed transfers of care."" The article continues, ""Data integration means new preventative programmes can be evaluated better and support planning for further preventative work. ... Performance management is now based onmeaningful outcome measures such as wellbeing, rather than crude input or output measures."" - https://www.nesta.org.uk/feature/eight-ways-councils-are-using-data-create-better-services/a-shared-outcomes-framework-for-health-and-social-care/",y,u
Sunderland City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_338,Risk Based Verification (CallCredit),,"Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 97-98 for more information on CallCredit - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
London Borough of Waltham Forest,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_367,Looker,,A data analytics platform. - https://looker.com/,u,u
London Borough of Waltham Forest,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_367,Sagemaker (Amazon Web Services),,A machine learning platform. - https://aws.amazon.com/sagemaker/,u,u
West Lothian Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_383,Risk Based Verification (CallCredit),,"Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 97-98 for more information on CallCredit - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Weymouth and Portland Borough Council,https://www.whatdotheyknow.com/request/data_analytics_usage_388,Risk Based Verification (Xantura),"""We use Xantura’s Risk Based Verification (RBV) module which is embeddedwithin the Capita Revenues and Benefits software.  We use the RBV process for new housing benefit and council tax support claims only – it is not used for HB/CTS changes in circumstances.The module was an additional purchase under our contract with Capita Software Services – we are unable to disclose details of Capita’s contract.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 99-100 for more information on Capita - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
Wigan Metropolitan Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_389,Risk stratification models,,"Wigan provided a link which led to a report covering their ""risk stratification model"", which attempts to identify at risk individuals and families and target preventative measures accordingly. - http://democracy.wigan.gov.uk/documents/s38737/Enc.%201%20for%20Risk%20Stratification.pdf?a=1",u,u
Worcester City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_396,Risk Based Verification (Capita),"""Worcester City Council Revenues and Benefits Service does not use systems of the type described in the FOI request but does use data provided by a third party software supplier for Risk Based Verification (RBV) of benefit claims.The Department for Work and Pensions (DWP) expects councils to use RBV when assessing new claims. Data provided by the claimant when they apply for benefit is analysed by the third party supplier and a risk score returned to the council.This score guides the council in deciding how much evidence to ask the claimant to provide to verify their claim. The aim of RBV is to speed up the processing of low risk claims so the customer can be paid benefit quickly and to identify high risk claims for further investigation tominimise the risk of error or fraud. The decision whether or not to pay benefit to a claimant is not based solely on the RBV score. The council does not have a contract with the third party supplier butreceives the service as part of its contract with the council’s software supplier which is Capita.""","Risk Based Verification (RBV) systems attempt to predict the risk of a benefit claim and, in response, adapt how that claim is processed. See pages 96-100 of the Data Justice Lab's report, ""Data Scores as Governance"", for more information on three providers of RBV systems. See pages 99-100 for more information on Capita - https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,y
London Borough of Hackney,https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf,Early Help Profiling System,The system uses ‘a predictive risk model which brings together data from multiple agencies to identify children who are most at risk of neglect or abuse’. The system is designed to provide social workers with monthly risk profiles that amalgamate information about families identified as most in need of early intervention,Hackney working with Xantura and Ernst and Young to develop the system,y,y
London Borough of Tower Hamlets,https://www.londoncouncils.gov.uk/node/30949,Children's Safeguarding Profiling Model,"""Xantura’s Children’s Safeguarding Profile Model brings together data from multiple agencies to identify children who are most at risk of neglect or abuse, but were not previously known to the local authority.  Using this model, one LA has already identified over 300 additional Troubled Families in need of support.""",,y,y 
London Borough of Newham,https://www.londoncouncils.gov.uk/node/30949,Children's Safeguarding Profiling Model,"""Xantura’s Children’s Safeguarding Profile Model brings together data from multiple agencies to identify children who are most at risk of neglect or abuse, but were not previously known to the local authority. Using this model, one LA has already identified over 300 additional Troubled Families in need of support.""",,y,y 
