Domain Name,Owner
norfolkalc.gov.uk,Norfolk Association of Local Councils
norfolk-pcc.gov.uk,Norfolk Constabulary
northantsfire.gov.uk,Northamptonshire Fire & Rescue Service
northeastcouncils.gov.uk,Association of North East Councils Limited
northeastfire.gov.uk,Tyne and Wear Fire and Rescue Service
northernireland.gov.uk,The Executive Office
northernpowerhouse.gov.uk,Department for Communities and Local Government
northumbria-pcc.gov.uk,Police and Crime Commissioner for Northumbria
northwales-pcc.gov.uk,Police and Crime Commissioner for North Wales
northyorksfire.gov.uk,Humberside Fire and Rescue Service
northyorkshire-pcc.gov.uk,North Yorkshire Police Authority
notts-fire.gov.uk,Nottinghamshire Fire & Rescue Service
npswales.gov.uk,Welsh Government
nrscotland.gov.uk,National Records of Scotland
nsgi.gov.uk,Ministry of Defence
number10.gov.uk,Prime Minister's Office
nw-ifca.gov.uk,North Western and North Wales Sea Fisheries Committee
nwml.gov.uk,National Weights and Measures Laboratory
oag.gov.uk,Scotland Office
oclepychardgroup-pc.gov.uk,Ocle Pychard Parish Council Group
octf.gov.uk,Department of Justice Northern Ireland
odandd.gov.uk,HM Government Cabinet Office
odi.gov.uk,Department for Work and Pensions
officefordisability.gov.uk,Department for Work and Pensions
official-documents.gov.uk,Office of Public Sector Information
ofgas.gov.uk,Office of Gas and Electricity Markets
ofgem.gov.uk,Office of Gas and Electricity Markets
ofmdfmni.gov.uk,The Executive Office
ofqual.gov.uk,Office of Qualifications and Examinations Regulation
ofsted.gov.uk,"Office for Standards in Education, Children's Services and Skills"
oft.gov.uk,Office of Fair Trading
ofwat.gov.uk,Office of Water Services
ogc.gov.uk,HM Government Cabinet Office
oisc.gov.uk,Office of the Immigration Services Commissioner
onlineni.gov.uk,The Northern Ireland Public Sector
onr.gov.uk,Department for Work and Pensions
ons.gov.uk,Office for National Statistics
openaccess.gov.uk,Natural England
opendatani.gov.uk,Department of Finance
operational-research.gov.uk,Government Operational Research Service
opg.gov.uk,The Office of HM Paymaster General
opsi.gov.uk,HM Government Cabinet Office
oqps.gov.uk,HM Government Cabinet Office
orcl.gov.uk,HM Government Cabinet Office
orr.gov.uk,Office of Rail Regulation
osni.gov.uk,Ordnance Survey of Northern Ireland
ospt.gov.uk,Ministry of Justice
osscsc.gov.uk,Ministry of Justice
otc.gov.uk,Driver and Vehicle Licensing Agency
ownyourhome.gov.uk,Department for Communities and Local Government
pacni.gov.uk,PACNI
parciaucenedlaetholcymru.gov.uk,Welsh Association of National Park Authorities
parentzonescotland.gov.uk,The Scottish Government
parking-adjudication.gov.uk,National Parking Adjudication Service
parking-appeals.gov.uk,National Parking Adjudication Service
paroleboard.gov.uk,Parole Board for England and Wales
parolecommissionerni.gov.uk,Parole Commissioners Northern Ireland
pas.gov.uk,Local Government Association
patent.gov.uk,The Patent Office
pco.gov.uk,HM Government Cabinet Office
peakdistrict.gov.uk,Peak District National Park Authority
peatlandsni.gov.uk,Northern Ireland Environment Agency
pensionregulator.gov.uk,The Pensions Regulator
pensionsappealtribunals.gov.uk,Ministry of Justice
pensionsatwork.gov.uk,Department for Work and Pensions
pensionservice.gov.uk,Department for Work and Pensions
pensions.gov.uk,Department for Work and Pensions
pensionsregulator.gov.uk,The Pensions Regulator
pensionsservice.gov.uk,Department for Work and Pensions
pensionwise.gov.uk,HM Treasury
peoplesnetwork.gov.uk,Arts Council England
pesticides.gov.uk,Health and Safety Executive
phe.gov.uk,Public Health England
planforbritain.gov.uk,HM Government Cabinet Office
planning-inspectorate.gov.uk,Planning Inspectorate
planninginspectorate.gov.uk,Planning Inspectorate
planningni.gov.uk,Department for Infrastructure
planningportal.gov.uk,Department for Communities and Local Government
pmo.gov.uk,Prime Minister's Office
pnn.gov.uk,Home Office
pointer-ni.gov.uk,Department of Finance
pointsoflight.gov.uk,HM Government Cabinet Office
policeconduct.gov.uk,Independent Office for Police Conduct
policyprofession.gov.uk,HM Government Cabinet Office
poole.gov.uk,Borough of Poole
possessionclaim.gov.uk,Ministry of Justice
ppo.gov.uk,Ministry of Justice
ppsni.gov.uk,Crown Prosecution Service
prhpscotland.gov.uk,Private Rented Housing Panel
princeofwales.gov.uk,The Office of The Prince of Wales and The Duchess of Cornwall
prisonandprobationjobs.gov.uk,Ministry of Justice
prisonsinspectoratescotland.gov.uk,HM Inspectorate of Prisons for Scotland
privatewatersupplies.gov.uk,The Scottish Government
procuratorfiscal.gov.uk,Crown Office and Procurator Fiscal Service
proni.gov.uk,Department for Communities
psecni.gov.uk,Department of Finance
publiccontractsscotland.gov.uk,The Scottish Government
publicguardian.gov.uk,Ministry of Justice
publicguardian-scotland.gov.uk,Office of the Public Guardian in Scotland
publicsectorni-ss.gov.uk,Department of Finance
public-standards.gov.uk,Standing Committee on Standards in Public Life
pwlb.gov.uk,The Public Works Load Board
qltr.gov.uk,The Office of Queen's and Lord Treasurer's Remembrancer
raib.gov.uk,Department for Transport
rail-reg.gov.uk,Office of Rail Regulation
ratingreviewni.gov.uk,Department of Finance
rbkc.gov.uk,The Royal Borough of Kensington and Chelsea
rbwm.gov.uk,Royal Borough of Windsor and Maidenhead
rcahms.gov.uk,Royal Commission on the Ancient and Historical Monuments of Scotland
rcahmw.gov.uk,Royal Commission on the Ancient and Historical Monuments of Wales
redbridge.gov.uk,London Borough of Redbridge
redundancyni.gov.uk,Department for the Economy
register.gov.uk,HM Government Cabinet Office
renewnorthstaffs.gov.uk,North Staffordshire Housing Market Renewal Partnership
renfrewshire-vjb.gov.uk,Renfrewshire Valuation Joint Board
rentofficer-ni.gov.uk,Department for Communities
resilience.gov.uk,HM Government Cabinet Office
respect.gov.uk,Home Office
returninghome.gov.uk,Home Office
revenueandcustoms.gov.uk,HM Revenue & Customs
richmondandwandsworth.gov.uk,London Borough of Wandsworth
richmond.gov.uk,London Borough of Richmond Upon Thames
riddor.gov.uk,Health and Safety Executive
righttobuy.gov.uk,Department for Communities and Local Government
rimnet.gov.uk,Department for Environment Food and Rural Affairs
riversagencyni.gov.uk,"Department of Agriculture, Environment and Rural Affairs"
rmascotland.gov.uk,Scottish Executive
roadworksscotland.gov.uk,The Office of the Scottish Road Works Commissioner
rohs.gov.uk,National Weights and Measures Laboratory
ros.gov.uk,Registers of Scotland
royalberkshirefire.gov.uk,Royal Berkshire Fire and Rescue Service
royal.gov.uk,The Royal Household
royalgreenwich.gov.uk,The Royal Borough of Greenwich
rpa.gov.uk,Department for Environment Food and Rural Affairs
rpani.gov.uk,The Executive Office
rpts.gov.uk,Ministry of Justice
rsh.gov.uk,Homes and Communities Agency (HCA)
ruralni.gov.uk,"Department of Agriculture, Environment and Rural Affairs"
saa.gov.uk,Central Scotland Valuation Joint Board
saas.gov.uk,Student Awards Agency for Scotland
sacn.gov.uk,Department of Health
sais.gov.uk,Scottish Avalanche Information Service
sandudb.gov.uk,River Wiske Internal Drainage Board
sasa.gov.uk,The Scottish Government
scap.gov.uk,The Scottish Government
scilly.gov.uk,Council of the Isles of Scilly
scillyifca.gov.uk,Isles of Scilly IFCA
scn.gov.uk,Home Office
scords.gov.uk,Scottish Executive
scotcourt.gov.uk,Scottish Courts and Tribunal Service
scotcourts.gov.uk,Scottish Courts and Tribunal Service
scotcourtstribunals.gov.uk,Scottish Courts and Tribunal Service
scot.gov.uk,The Scottish Government
scotlandcensus.gov.uk,National Records of Scotland
scotland.gov.uk,The Scottish Government
scotlandoffice.gov.uk,Scotland Office
scotlandontap.gov.uk,Water Industry Commission for Scotland
scotlandscensus.gov.uk,National Records of Scotland
scotlandsfinancialhealthservice.gov.uk,Accountant in Bankruptcy
scotlandshouseprices.gov.uk,Registers of Scotland
scotlandspeople.gov.uk,National Records of Scotland
scotlandspeoplehub.gov.uk,National Records of Scotland
scotlandsplaces.gov.uk,University of Edinburgh
scotlandsproperty.gov.uk,Registers of Scotland
scotlandsprotectedplaces.gov.uk,Scottish Natural Heritage
scotlawcom.gov.uk,Scottish Law Commission
scottishassessors.gov.uk,Central Scotland Valuation Joint Board
scottishassessorsportal.gov.uk,Central Scotland Valuation Joint Board
scottishboundaries.gov.uk,Local Government Boundary Commission
scottishchildcare.gov.uk,The Scottish Government
scottishciviljusticecouncil.gov.uk,Scottish Courts and Tribunal Service
scottishcounciltaxbands.gov.uk,Central Scotland Valuation Joint Board
scottishelectoralregister.gov.uk,Central Scotland Valuation Joint Board
scottishfamilies.gov.uk,The Scottish Government
scottishflooddefences.gov.uk,Scottish Environment Protection Agency
scottishhousingregulator.gov.uk,The Scottish Government
scottishparoleboard.gov.uk,Parole Board for Scotland
scottishrateablevalues.gov.uk,Central Scotland Valuation Joint Board
scottishschoolsonline.gov.uk,Education Scotland
scpha.gov.uk,Suffolk Coastal Port Health Authority
scra.gov.uk,Scottish Children's Reporter Administration
scrol.gov.uk,General Register Office for Scotland
secureyourfertiliser.gov.uk,National Counter Terrorism Security Office
securityservice.gov.uk,Security Service
sedsh.gov.uk,The Scottish Government
sell2wales.gov.uk,Welsh Government
sentencingcouncil.gov.uk,Ministry of Justice
sentw.gov.uk,Welsh Government
sepa.gov.uk,Scottish Environment Protection Agency
service.gov.uk,HM Government Cabinet Office
sestran.gov.uk,South East of Scotland Transport Partnership
sflg.gov.uk,HM Government Cabinet Office
sfo.gov.uk,Serious Fraud Office
shareholderexecutive.gov.uk,"Department for Business, Energy & Industrial Strategy"
shiregroup-idbs.gov.uk,River Wiske Internal Drainage Board
shropshirefire.gov.uk,Shropshire Fire and Rescue Service Authority
silicone-review.gov.uk,Department of Health
siscareers.gov.uk,Secret Intelligence Service
sis.gov.uk,Secret Intelligence Service
smallbusinesscommissioner.gov.uk,The Small Business Commissioner
snh.gov.uk,Scottish Natural Heritage
snowdonia-npa.gov.uk,Snowdonia National Park Authority
sns.gov.uk,The Scottish Government
soca.gov.uk,Serious Organised Crime Agency
soils-scotland.gov.uk,The Scottish Government
somersetdrainageboards.gov.uk,Somerset Drainage Boards Consortium
somersetwaste.gov.uk,Somerset Waste Partnership
southdowns.gov.uk,South Downs National Park Authority
southeastiep.gov.uk,Improvement and Development Agency
southern-ifca.gov.uk,Southern Inshore Fisheries and Conservation Authority
southwales-fire.gov.uk,South Wales Fire and Rescue Service
southwales-tra.gov.uk,The South Wales Trunk Road Agency
southyorks.gov.uk,The South Yorkshire Joint Secretariat
southyorkshire-pcc.gov.uk,South Yorkshire Police and Crime Commissioner
sparse.gov.uk,Sparsity Partnership for Authorities delivering Rural Services
spatialni.gov.uk,Land & Property Services
sppa.gov.uk,Scottish Public Pensions Agency
sps.gov.uk,Scottish Prison Service
ssani.gov.uk,Northern Ireland Social Security Agency
ssro.gov.uk,Single Source Regulations Office
stabilisationunit.gov.uk,Stabilisation Unit
stabilizationunit.gov.uk,Stabilisation Unit
staffordshirefire.gov.uk,Staffordshire Fire and Rescue Service
staffordshire-pcc.gov.uk,Police and Crime Commissioner for Staffordshire
stantononthewoldsparishcouncil.gov.uk,Parish Council of Stanton on the Wolds
stateaidscotland.gov.uk,The Scottish Government
statisticsauthority.gov.uk,Office for National Statistics
statistics.gov.uk,Office for National Statistics
statutelaw.gov.uk,Ministry of Justice
stirlingcastle.gov.uk,Historic Scotland
stives-tc.gov.uk,St Ives Town Council - Cornwall
stivestowncouncil-cornwall.gov.uk,St Ives Town Council - Cornwall
stourvalleypartnership.gov.uk,Borough of Poole
suffolk-fire.gov.uk,Suffolk Fire and Rescue Service
suffolk-pcc.gov.uk,Suffolk Police Authority
surrey-pcc.gov.uk,Surrey Police Authority
surveillancecommissioners.gov.uk,Home Office
sussex-ifca.gov.uk,The Sussex Inshore Fisheries and Conservation Authority
sussex-pcc.gov.uk,Sussex Police Authority
svs.gov.uk,Department for Environment Food and Rural Affairs
swansea-edunet.gov.uk,City and County of Swansea
swansea.gov.uk,City and County of Swansea
swcouncils.gov.uk,South West Regional Board
swmcrematorium.gov.uk,South West Middlesex Crematorium
syfire.gov.uk,Humberside Fire and Rescue Service
syjs.gov.uk,The South Yorkshire Joint Secretariat
taaac.gov.uk,Welsh Government
tactran.gov.uk,Tayside and Central Scotland Transport Partnership
taluamfagiaucymru.gov.uk,Welsh Government
tancgc.gov.uk,Mid and West Wales Fire and Rescue Service
tan.gov.uk,Driver & Vehicle Standards Agency
targetingfraud.gov.uk,Department for Work and Pensions
tartanregister.gov.uk,National Records of Scotland
tass.gov.uk,University of Northumbria at Newcastle
taysidefire.gov.uk,Tayside Fire and Rescue
tayside-vjb.gov.uk,Tayside Valuation Joint Board
tellmescotland.gov.uk,Scottish Executive
tfgmc.gov.uk,Transport for Greater Manchester
tfl.gov.uk,Transport for London
thamesvalley-pcc.gov.uk,Police and Crime Commissioner for Thames Valley
thecity.gov.uk,City of London Corporation
themet-office.gov.uk,Met Office
themetoffice.gov.uk,Met Office
thepensionregulator.gov.uk,The Pensions Regulator
thepensionservice.gov.uk,Department for Work and Pensions
thepensionservices.gov.uk,Department for Work and Pensions
thepensionsregulator.gov.uk,The Pensions Regulator
theukmetoffice.gov.uk,Met Office
think.gov.uk,Department for Transport
thirdpartyreview.gov.uk,HM Government Cabinet Office
tpa.gov.uk,National Parking Adjudication Service
tpct.gov.uk,National Parking Adjudication Service
tpr.gov.uk,The Pensions Regulator
tpt.gov.uk,National Parking Adjudication Service
trade.gov.uk,Department For International Trade
tradeinvest.gov.uk,UK Trade and Investment
traffic-penalty-adjudicators.gov.uk,National Parking Adjudication Service
trafficpenaltyadjudicators.gov.uk,National Parking Adjudication Service
traffic-penalty-charge-tribunal.gov.uk,National Parking Adjudication Service
trafficpenaltychargetribunal.gov.uk,National Parking Adjudication Service
traffic-penalty-tribunal.gov.uk,National Parking Adjudication Service
trafficpenaltytribunal.gov.uk,National Parking Adjudication Service
transportforgreatermanchestercommittee.gov.uk,Transport for Greater Manchester
transport-for-london.gov.uk,Transport for London
transportforlondon.gov.uk,Transport for London
transportoffice.gov.uk,Driver & Vehicle Standards Agency
transportscotland.gov.uk,The Scottish Government
transporttribunal.gov.uk,Ministry of Justice
treasury-solicitor.gov.uk,Government Legal Department
tribunalservice.gov.uk,Ministry of Justice
tribunals.gov.uk,Ministry of Justice
tribunalsservice.gov.uk,Ministry of Justice
tsb.gov.uk,The Technology Strategy Board
tsol.gov.uk,Government Legal Department
twfire.gov.uk,Tyne and Wear Fire and Rescue Service
twita.gov.uk,Tyne and Wear Passenger Transport Authority
tyneandwearfire.gov.uk,Tyne and Wear Fire and Rescue Service
tyneandwearpte.gov.uk,Nexus
tyrcwmniau.gov.uk,Companies House
ukciu.gov.uk,Serious Organised Crime Agency
ukexportfinance.gov.uk,Export Credits Guarantee Department
ukgi.gov.uk,HM Treasury
ukho.gov.uk,The United Kingdom Hydrographic Office
ukinvest.gov.uk,"Department for Business, Enterprise and Regulatory Reform"
ukmet-office.gov.uk,Met Office
ukmetoffice.gov.uk,Met Office
uksport.gov.uk,UK Sport
ukti.gov.uk,"Department for Business, Energy & Industrial Strategy"
uktradeinvest.gov.uk,"Department for Business, Energy & Industrial Strategy"
ukvisas.gov.uk,Home Office
uk-weather.gov.uk,Met Office
ukweather.gov.uk,Met Office
uleyparishcouncil.gov.uk,uleyparishcouncil.gov.uk
understandinguniversalcredit.gov.uk,Department for Work and Pensions
unedddatacymru.gov.uk,Local Government Data Unit ~ Wales
upperwitham-idb.gov.uk,Upper Witham Internal Drainage Board
uregni.gov.uk,Utility Regulator
valuationtribunal.gov.uk,Valuation Tribunal Service
valuation-tribunals.gov.uk,HM Revenue & Customs
vca.gov.uk,Vehicle Certification Agency
vca-pos.gov.uk,Vehicle Certification Agency
victimsni.gov.uk,The Executive Office
visitukheritage.gov.uk,HM Revenue & Customs
vla.gov.uk,Department for Environment Food and Rural Affairs
voa.gov.uk,HM Revenue & Customs
volcomgrantsni.gov.uk,Department for Communities
vosa.gov.uk,Driver & Vehicle Standards Agency
walescarbonfootprint.gov.uk,Welsh Government
walescoastpath.gov.uk,Natural Resources Wales
walesfire.gov.uk,Welsh Government Fire Branch
wales.gov.uk,Welsh Government
walesoffice.gov.uk,Wales Office
walesprobationtrust.gov.uk,Wales Probation Trust
walesresilience.gov.uk,Welsh Government
wandsworth.gov.uk,London Borough of Wandsworth
wao.gov.uk,Wales Audit Office
warwickshire-pcc.gov.uk,Warwickshire Police and Crime Commissioner
weather.gov.uk,Met Office
westernriversiderecyclers.gov.uk,Western Riverside Waste Authority
westlondonwaste.gov.uk,West London Waste Authority
westmercia-pcc.gov.uk,West Mercia Police Authority
westmidlandsiep.gov.uk,Local Government Association
westmidlands-pcc.gov.uk,West Midlands Police Authority
westmidsfire.gov.uk,West Midlands Fire Service
west-norfolk.gov.uk,Borough Council of King's Lynn & West Norfolk
westyorks-ca.gov.uk,West Yorkshire Integrated Transport Authority
westyorksfire.gov.uk,West Yorkshire Fire and Rescue Service
westyorkshire-pcc.gov.uk,West Yorkshire Police Authority
whithornpriorymuseum.gov.uk,Historic Scotland
wiltsfire.gov.uk,Wiltshire Fire Brigade
wiltshire-pcc.gov.uk,Police and Crime Commissioner for Wiltshire and Swindon
windsor.gov.uk,Royal Borough of Windsor and Maidenhead
witham-1st-idb.gov.uk,The Witham First District Internal Drainage Board
witham3idb.gov.uk,The Witham Third District Internal Drainage Board
wlga.gov.uk,Welsh Local Government Association
workandpensions.gov.uk,Department for Work and Pensions
workplacepensions.gov.uk,Department for Work and Pensions
world-weather.gov.uk,Met Office
worldweather.gov.uk,Met Office
wrwa.gov.uk,Western Riverside Waste Authority
xhibit.gov.uk,Her Majesty's Courts Service
yearofengineering.gov.uk,Department for Transport
yellowcard.gov.uk,Medicines and Healthcare Products Regulatory Agency
ygwasanaethpensiwn.gov.uk,Department for Work and Pensions
yjani.gov.uk,Northern Ireland Office
yjb.gov.uk,Ministry of Justice
yorkconsort.gov.uk,FOSS Internal Drainage Board
yorkshirelca.gov.uk,Yorkshire Local Councils Associations
yourpension.gov.uk,Department for Work and Pensions
youthjusticeagencyni.gov.uk,Northern Ireland Office
